# Hourly Data, Hourly Data
6.8913219451904295,6.8913219451904295
6.6381988525390625,6.6381988525390625
6.691682815551758,6.691682815551758
7.134724807739258,7.134724807739258
8.018416118621825,8.018416118621825
9.274057579040527,9.274057579040527
10.730759620666504,10.730759620666504
12.18725872039795,12.18725872039795
13.467802238464355,13.467802238464355
14.428421783447266,14.428421783447266
14.969382667541504,14.969382667541504
15.031943893432617,15.031943893432617
14.621185302734375,14.621185302734375
13.80008602142334,13.80008602142334
12.693817138671875,12.693817138671875
11.429182052612305,11.429182052612305
10.123502922058105,10.123502922058105
8.87389259338379,8.87389259338379
7.749515533447266,7.749515533447266
6.764388465881348,6.764388465881348
6.048989295959473,6.048989295959473
5.5221668720245365,5.5221668720245365
5.078822088241577,5.078822088241577
4.660555076599121,4.660555076599121
